Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total Sales,Gross Margin Percentage
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415,136675.60444999998,30
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,291.848,30
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,8530.10208,30
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,27055.368,30
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,262.95752,30
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,1353.3415200000002,30
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,167.73632,30
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,2755.378125,30
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,25475.522,30
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,15810.189119999995,30
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255,116407.95005,30
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,324.818,30
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,8850.265920000002,30
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,1537.20578,30
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,9759.362,30
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,7907.469120000001,30
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,232.01672,30
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,15010.816320000002,30
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,9651.86048,30
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,376.01792,30
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,8599.63392,30
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,31173.408,30
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,7062.78528,30
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945,1655.837505,30
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,34138.5845,30
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,2485.3351250000005,30
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,255.46952,30
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,23656.193280000003,30
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,26172.6125,30
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,275.43042,30
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815,122824.54845,30
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,224.04818,30
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,17149.88178,30
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165,167.99444999999997,30
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,1059.38568,30
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,10372.19058,30
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,8673.6125,30
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945,1655.837505,30
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,30662.2805,30
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,519.1804999999999,30
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,17709.58098,30
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,4206.160080000001,30
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,5166.18368,30
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071,16902.460820000004,30
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097,10669.42818,30
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,1795.8915200000004,30
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43,10062.098,30
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693,1183.64498,30
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735,279.00449999999995,30
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815,2155.510845,30
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291,4676.29362,30
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649,54.38401999999999,30
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,147.315,43403.41845,30
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494,12998.88072,30
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,363.555,264344.47605,30
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053,328.53618,30
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48,600.6080000000001,30
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824,31719.01952,30
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588,10204.35488,30
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,327.915,215056.49445,30
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625,1300.078125,30
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,142.785,40775.11245,30
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416,15032.741120000002,30
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626,33009.43752,30
